127.0.0.1 - - [03/Jan/2017:00:03:54 -0200] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:27 -0200] "GET /financeiro/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:27 -0200] "GET /financeiro/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:27 -0200] "GET /financeiro/javax.faces.resource/primefaces.css.jsf?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:27 -0200] "GET /financeiro/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:27 -0200] "GET /financeiro/javax.faces.resource/logotipo_m.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:27 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_menu.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:27 -0200] "GET /financeiro/javax.faces.resource/logout16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:27 -0200] "GET /financeiro/javax.faces.resource/principal16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:27 -0200] "GET /financeiro/javax.faces.resource/administrativo16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:27 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_rodape.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:48 -0200] "POST /financeiro/restrito/lancamento.jsf HTTP/1.1" 200 11348
