127.0.0.1 - - [08/Jan/2017:00:56:36 -0200] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:21 -0200] "GET /financeiro/ HTTP/1.1" 200 1511
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:22 -0200] "GET /financeiro/javax.faces.resource/estilo.css.jsf?ln=css HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:22 -0200] "GET /financeiro/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28107
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:22 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_menu.png.jsf?ln=imagens HTTP/1.1" 200 26475
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:22 -0200] "GET /financeiro/javax.faces.resource/logotipo_g.png.jsf?ln=imagens HTTP/1.1" 200 63272
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:22 -0200] "GET /financeiro/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 200 146748
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:22 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_rodape.png.jsf?ln=imagens HTTP/1.1" 200 26386
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:22 -0200] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:24 -0200] "GET /financeiro/restrito/principal.jsf?faces-redirect=true HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:24 -0200] "GET /financeiro/publico/login.jsf HTTP/1.1" 200 1438
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:24 -0200] "GET /financeiro/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:24 -0200] "GET /financeiro/javax.faces.resource/estilo.css.jsf?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:24 -0200] "GET /financeiro/javax.faces.resource/logotipo_g.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:28 -0200] "POST /financeiro/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:30 -0200] "GET /financeiro/restrito/principal.jsf HTTP/1.1" 200 7100
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:30 -0200] "GET /financeiro/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:30 -0200] "GET /financeiro/javax.faces.resource/estilo.css.jsf?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:30 -0200] "GET /financeiro/javax.faces.resource/primefaces.css.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 55491
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:30 -0200] "GET /financeiro/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:31 -0200] "GET /financeiro/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 220756
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:31 -0200] "GET /financeiro/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:31 -0200] "GET /financeiro/javax.faces.resource/logotipo_g.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:31 -0200] "GET /financeiro/javax.faces.resource/administrativo16.png.jsf?ln=imagens HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:31 -0200] "GET /financeiro/javax.faces.resource/principal16.png.jsf?ln=imagens HTTP/1.1" 200 3310
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:31 -0200] "GET /financeiro/javax.faces.resource/primefaces.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 300675
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:31 -0200] "GET /financeiro/javax.faces.resource/logout16.png.jsf?ln=imagens HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [08/Jan/2017:00:59:33 -0200] "POST /financeiro/restrito/principal.jsf HTTP/1.1" 302 -
