127.0.0.1 - - [31/Dec/2016:00:27:01 -0200] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:38:19 -0200] "GET /financeiro/ HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:38:21 -0200] "GET /financeiro/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:38:21 -0200] "GET /financeiro/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:38:21 -0200] "GET /financeiro/javax.faces.resource/estilo.css.jsf;jsessionid=940126D0E79D5AF8C5B5B35B5CBF20DD?ln=css HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:38:22 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_menu.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:38:23 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_rodape.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:38:23 -0200] "GET /financeiro/javax.faces.resource/logotipo_g.png.jsf;jsessionid=940126D0E79D5AF8C5B5B35B5CBF20DD?ln=imagens HTTP/1.1" 200 63272
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:38:23 -0200] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:40:56 -0200] "GET /financeiro/restrito/principal.jsf;jsessionid=940126D0E79D5AF8C5B5B35B5CBF20DD?faces-redirect=true HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:40:56 -0200] "GET /financeiro/publico/login.jsf HTTP/1.1" 200 1438
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:40:57 -0200] "GET /financeiro/javax.faces.resource/estilo.css.jsf?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:40:57 -0200] "GET /financeiro/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:40:57 -0200] "GET /financeiro/javax.faces.resource/logotipo_g.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:40:57 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_menu.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:40:57 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_rodape.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:03 -0200] "POST /financeiro/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:07 -0200] "GET /financeiro/restrito/principal.jsf HTTP/1.1" 200 7096
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:07 -0200] "GET /financeiro/javax.faces.resource/estilo.css.jsf?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:07 -0200] "GET /financeiro/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:07 -0200] "GET /financeiro/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:07 -0200] "GET /financeiro/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:07 -0200] "GET /financeiro/javax.faces.resource/primefaces.css.jsf?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:07 -0200] "GET /financeiro/javax.faces.resource/primefaces.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:08 -0200] "GET /financeiro/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:08 -0200] "GET /financeiro/javax.faces.resource/logotipo_g.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:08 -0200] "GET /financeiro/javax.faces.resource/administrativo16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:08 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_rodape.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:08 -0200] "GET /financeiro/javax.faces.resource/logout16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:08 -0200] "GET /financeiro/javax.faces.resource/principal16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:08 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_menu.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:11 -0200] "POST /financeiro/restrito/principal.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:12 -0200] "GET /financeiro/restrito/conta.jsf HTTP/1.1" 200 6221
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:12 -0200] "GET /financeiro/javax.faces.resource/estilo.css.jsf?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:12 -0200] "GET /financeiro/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:12 -0200] "GET /financeiro/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:12 -0200] "GET /financeiro/javax.faces.resource/administrativo16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:12 -0200] "GET /financeiro/javax.faces.resource/logotipo_m.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:13 -0200] "GET /financeiro/javax.faces.resource/principal16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:13 -0200] "GET /financeiro/javax.faces.resource/logout16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:13 -0200] "GET /financeiro/javax.faces.resource/editar16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:13 -0200] "GET /financeiro/javax.faces.resource/favorita16_true.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:13 -0200] "GET /financeiro/javax.faces.resource/excluir16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:13 -0200] "GET /financeiro/javax.faces.resource/pdf.png.jsf?ln=imagens HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:13 -0200] "GET /financeiro/javax.faces.resource/excel.png.jsf?ln=imagens HTTP/1.1" 200 1176
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:13 -0200] "GET /financeiro/javax.faces.resource/ods.png.jsf?ln=imagens HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:13 -0200] "GET /financeiro/javax.faces.resource/fundo_claro.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:14 -0200] "GET /financeiro/javax.faces.resource/html.png.jsf?ln=imagens HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:33 -0200] "POST /financeiro/restrito/conta.jsf HTTP/1.1" 200 1755
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:48 -0200] "POST /financeiro/restrito/conta.jsf HTTP/1.1" 200 6157
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:41:51 -0200] "POST /financeiro/restrito/conta.jsf HTTP/1.1" 200 8295
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:42:15 -0200] "POST /financeiro/restrito/conta.jsf HTTP/1.1" 200 3951
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:45:27 -0200] "GET /financeiro/j_spring_security_logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:45:27 -0200] "GET /financeiro/ HTTP/1.1" 200 1510
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:45:27 -0200] "GET /financeiro/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:45:27 -0200] "GET /financeiro/javax.faces.resource/estilo.css.jsf?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:45:27 -0200] "GET /financeiro/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:00:45:27 -0200] "GET /financeiro/javax.faces.resource/logotipo_g.png.jsf?ln=imagens HTTP/1.1" 304 -
