127.0.0.1 - - [14/Jan/2017:02:44:57 -0200] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:08 -0200] "GET /exemplosgrafico/menu.jsf HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:08 -0200] "GET /exemplosgrafico/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 29250
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:11 -0200] "GET /exemplosgrafico/jfreechartpizza.jsf;jsessionid=D43F9D0989E56B1ED04110B5BFE55B7E HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:11 -0200] "GET /exemplosgrafico/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:11 -0200] "GET /exemplosgrafico/javax.faces.resource/dynamiccontent.properties.jsf?ln=primefaces&pfdrid=8dhQY1CI0P4OdK1zgQH%2FAPXasEb8FbfJ&pfdrt=sc&pfdrid_c=true HTTP/1.1" 200 17374
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:15 -0200] "GET /financeiro/webservice/financeiroWS HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:19 -0200] "GET /financeiro/ HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:19 -0200] "GET /financeiro/javax.faces.resource/estilo.css.jsf;jsessionid=A68036A22137557B4EBFF3F959C1DDA7?ln=css HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:19 -0200] "GET /financeiro/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28107
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:19 -0200] "GET /financeiro/javax.faces.resource/logotipo_g.png.jsf;jsessionid=A68036A22137557B4EBFF3F959C1DDA7?ln=imagens HTTP/1.1" 200 63272
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:19 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_menu.png.jsf?ln=imagens HTTP/1.1" 200 26475
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:20 -0200] "GET /financeiro/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 200 146748
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:20 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_rodape.png.jsf?ln=imagens HTTP/1.1" 200 26386
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:21 -0200] "GET /financeiro/restrito/principal.jsf;jsessionid=A68036A22137557B4EBFF3F959C1DDA7?faces-redirect=true HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:21 -0200] "GET /financeiro/publico/login.jsf HTTP/1.1" 200 1438
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:21 -0200] "GET /financeiro/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:21 -0200] "GET /financeiro/javax.faces.resource/estilo.css.jsf?ln=css HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:21 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_menu.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:21 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_rodape.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:21 -0200] "GET /financeiro/javax.faces.resource/logotipo_g.png.jsf?ln=imagens HTTP/1.1" 200 63272
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:24 -0200] "POST /financeiro/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:26 -0200] "GET /financeiro/restrito/principal.jsf HTTP/1.1" 200 7098
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:26 -0200] "GET /financeiro/javax.faces.resource/estilo.css.jsf?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:26 -0200] "GET /financeiro/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:26 -0200] "GET /financeiro/javax.faces.resource/primefaces.css.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 55491
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:26 -0200] "GET /financeiro/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:27 -0200] "GET /financeiro/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 220756
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:27 -0200] "GET /financeiro/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:27 -0200] "GET /financeiro/javax.faces.resource/logotipo_g.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:27 -0200] "GET /financeiro/javax.faces.resource/administrativo16.png.jsf?ln=imagens HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:27 -0200] "GET /financeiro/javax.faces.resource/principal16.png.jsf?ln=imagens HTTP/1.1" 200 3310
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:27 -0200] "GET /financeiro/javax.faces.resource/logout16.png.jsf?ln=imagens HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:27 -0200] "GET /financeiro/javax.faces.resource/primefaces.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 300675
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:27 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_menu.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:27 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_rodape.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:30 -0200] "POST /financeiro/restrito/principal.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:31 -0200] "GET /financeiro/restrito/lancamento.jsf HTTP/1.1" 200 9953
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:31 -0200] "GET /financeiro/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:31 -0200] "GET /financeiro/javax.faces.resource/estilo.css.jsf?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:31 -0200] "GET /financeiro/javax.faces.resource/primefaces.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:31 -0200] "GET /financeiro/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:31 -0200] "GET /financeiro/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:31 -0200] "GET /financeiro/javax.faces.resource/primefaces.css.jsf?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:31 -0200] "GET /financeiro/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:31 -0200] "GET /financeiro/javax.faces.resource/logotipo_m.png.jsf?ln=imagens HTTP/1.1" 200 49195
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:31 -0200] "GET /financeiro/javax.faces.resource/administrativo16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:31 -0200] "GET /financeiro/javax.faces.resource/principal16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:31 -0200] "GET /financeiro/javax.faces.resource/logout16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:31 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_menu.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:31 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_rodape.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:33 -0200] "POST /financeiro/restrito/lancamento.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:33 -0200] "GET /financeiro/restrito/categoria.jsf HTTP/1.1" 200 7202
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:33 -0200] "GET /financeiro/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:33 -0200] "GET /financeiro/javax.faces.resource/primefaces.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:33 -0200] "GET /financeiro/javax.faces.resource/estilo.css.jsf?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:33 -0200] "GET /financeiro/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:33 -0200] "GET /financeiro/javax.faces.resource/primefaces.css.jsf?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:33 -0200] "GET /financeiro/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:02:46:33 -0200] "GET /financeiro/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
